CELEX_FROM,NUMBER_FROM,CELEX_TO,NUMBER_TO
62016CJ0586,35,62018CJ0307,31
62016CJ0586,36,62018CJ0307,32
62016CJ0586,37,62018CJ0307,36
62016CJ0586,38,62018CJ0307,37
62016CJ0586,38,62018CJ0307,39
62016CJ0586,39,62018CJ0307,40
62016CJ0586,39,62018CJ0307,41
62016CJ0586,39,62018CJ0307,58
62016CJ0586,40,62018CJ0307,43
62016CJ0586,40,62018CJ0307,45
62016CJ0586,40,62018CJ0307,54
62016CJ0586,40,62018CJ0307,55
62016CJ0586,40,62018CJ0307,56
62016CJ0586,41,62018CJ0307,46
62016CJ0586,41,62018CJ0307,47
62016CJ0586,41,62018CJ0307,48
62016CJ0586,41,62018CJ0307,49
62016CJ0586,41,62018CJ0307,50
62016CJ0586,41,62018CJ0307,51
62016CJ0586,42,62018CJ0307,46
62016CJ0586,43,62018CJ0307,50
62016CJ0586,45,62018CJ0307,44
62016CJ0586,47,62015CJ0411,89
62016CJ0586,48,62010CJ0281,78
62016CJ0586,49,62019CJ0121,44
62016CJ0586,61,62013CJ0067,88
62016CJ0586,66,62013CJ0067,51
62016CJ0586,68,62018CJ0307,67
62016CJ0586,69,62018CJ0307,84
62016CJ0586,69,62018CJ0307,85
62016CJ0586,70,62018CJ0307,83
62016CJ0586,70,62018CJ0307,87
62016CJ0586,71,62018CJ0307,93
62016CJ0586,71,62018CJ0307,94
62016CJ0586,77,62018CJ0307,88
62016CJ0586,77,62018CJ0307,97
62016CJ0586,80,62018CJ0307,50
62016CJ0586,80,62018CJ0307,89
62016CJ0586,82,62018CJ0307,103
62016CJ0586,82,62018CJ0307,106
62016CJ0586,82,62018CJ0307,107
62016CJ0586,86,62018CJ0307,64
62016CJ0586,89,62013CJ0067,54
62016CJ0586,111,62008CJ0407,89
62016CJ0588,31,62018CJ0307,31
62016CJ0588,32,62018CJ0307,32
62016CJ0588,33,62018CJ0307,36
62016CJ0588,34,62018CJ0307,37
62016CJ0588,34,62018CJ0307,39
62016CJ0588,35,62018CJ0307,40
62016CJ0588,35,62018CJ0307,41
62016CJ0588,35,62018CJ0307,58
62016CJ0588,36,62018CJ0307,43
62016CJ0588,36,62018CJ0307,45
62016CJ0588,36,62018CJ0307,54
62016CJ0588,36,62018CJ0307,55
62016CJ0588,36,62018CJ0307,56
62016CJ0588,37,62018CJ0307,46
62016CJ0588,37,62018CJ0307,47
62016CJ0588,37,62018CJ0307,48
62016CJ0588,37,62018CJ0307,49
62016CJ0588,37,62018CJ0307,50
62016CJ0588,37,62018CJ0307,51
62016CJ0588,38,62018CJ0307,46
62016CJ0588,66,62018CJ0307,67
62016CJ0588,67,62018CJ0307,84
62016CJ0588,67,62018CJ0307,85
62016CJ0588,68,62018CJ0307,83
62016CJ0588,68,62018CJ0307,87
62016CJ0588,69,62018CJ0307,93
62016CJ0588,69,62018CJ0307,94
62016CJ0588,76,62018CJ0307,97
62016CJ0588,80,62018CJ0307,84
